Timestamp,Choose your gender,Age,Your current year of Study,Living Situation,  Dietary Habit  ,Do you use or have you ever used Nicotine?,Part-time working hours per week,  Academic Pressure   [I feel exhausted by the amount of coursework I have.],  Academic Pressure   [I often feel stressed before or during exams.],  Academic Pressure   [I worry that I will not meet my academic expectations.],  Academic Pressure   [I feel I need to reduce my sleep and entertainment time to keep up with my studies.],  Financial Stress   [I worry about having enough money to cover my basic living expenses.],  Financial Stress   [My family has difficulty affording my tuition and university fees.],  Financial Stress   [My family is currently facing financial difficulties.],Family Pressure [My family has very high expectations for my academic performance.],Family Pressure [I feel stressed because my grades might disappoint my family.],  Study Satisfaction   [I am not satisfied with what I am learning in my program.],  Study Satisfaction   [I often regret choosing my current major/program.],  Study Satisfaction   [I do not feel fully satisfied with my experience at this university],  Sleep Duration(hours)  ,Do you have Anxiety?,Do you have Depression?,"Have you had problems with Short-term Memory (e.g., forgetting recent conversations, misplacing items, or what you just studied)?  ",  Family history of mental illness  ,Self-harm or Suicidal Ideation (last 12 months) ,"Have you ever seriously considered leaving university (e.g., taking a leave of absence for ≥1 semester or permanently withdrawing)?  "
11/24/2025 15:15:52,Male,23+,4,Shared apartment/house (roommates),Moderate,Yes,None,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,>8,No,Yes — diagnosed by a professional,5,Yes,Yes,Yes
11/24/2025 16:27:18,Male,23+,4,With parents/relatives,Healthy (mostly balanced meals),No,20+,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,5–6,Yes — suspected/undocumented,No,5,No,No,Yes
11/24/2025 16:49:03,Male,23+,4,With parents/relatives,Moderate,Yes,20+,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,5–6,Yes — suspected/undocumented,No,4,No,No,Yes
11/24/2025 17:22:29,Male,20-22,4,Alone (renting),Moderate,Yes,None,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,5–6,No,No,3,Unsure,No,No
11/24/2025 18:06:07,Male,20-22,4,With parents/relatives,Moderate,No,1–8,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,No,No,4,No,No,No
11/24/2025 19:30:24,Male,20-22,4,With parents/relatives,Moderate,No,1–8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,4,No,No,Yes
11/24/2025 20:13:41,Male,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,20+,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,5–6,No,No,4,No,No,No
11/24/2025 20:17:06,Female,20-22,3,With parents/relatives,Unhealthy (frequent fast/processed foods),No,None,Neutral,Strongly agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,7–8,Yes — suspected/undocumented,No,3,No,No,No
11/24/2025 22:02:29,Male,20-22,4,On-campus Dorm,Moderate,No,None,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Disagree,7–8,No,No,2,No,No,No
11/25/2025 4:27:01,Male,20-22,4,Alone (renting),Healthy (mostly balanced meals),No,1–8,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly disagree,Disagree,5–6,No,No,3,No,No,No
11/25/2025 10:39:43,Male,18-19,2,Alone (renting),Unhealthy (frequent fast/processed foods),No,None,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5–6,No,Yes — suspected/undocumented,5,No,No,Yes
11/25/2025 10:40:17,Female,18-19,1,On-campus Dorm,Moderate,No,None,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,5–6,Yes — suspected/undocumented,No,4,Unsure,No,No
11/25/2025 10:40:22,Female,18-19,1,With parents/relatives,Unhealthy (frequent fast/processed foods),No,None,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,3,Unsure,No,No
11/25/2025 10:40:33,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,Unsure,No,No
11/25/2025 10:40:43,Female,23+,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Disagree,Neutral,Strongly disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Strongly agree,7–8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,4,Yes,Yes,Yes
11/25/2025 10:40:49,Female,18-19,2,On-campus Dorm,Moderate,No,None,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7–8,Yes — suspected/undocumented,No,3,Yes,Yes,No
11/25/2025 10:41:21,Female,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,<5,Yes — suspected/undocumented,Yes — suspected/undocumented,5,No,No,>= 1 semester
11/25/2025 10:41:29,Male,23+,4,Alone (renting),Moderate,No,None,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,5–6,Yes — suspected/undocumented,No,2,No,No,No
11/25/2025 10:42:26,Male,18-19,1,With parents/relatives,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,7–8,No,No,1,Yes,No,No
11/25/2025 10:44:21,Female,23+,4,On-campus Dorm,Moderate,No,1–8,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,7–8,Yes — suspected/undocumented,No,4,No,No,No
11/25/2025 10:46:05,Male,20-22,3,On-campus Dorm,Moderate,No,1–8,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Agree,7–8,Yes — suspected/undocumented,Yes — diagnosed by a professional,3,No,No,No
11/25/2025 10:50:09,Female,23+,2,On-campus Dorm,Unhealthy (frequent fast/processed foods),No,None,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,5–6,No,No,3,No,No,No
11/25/2025 10:52:27,Male,18-19,1,On-campus Dorm,Moderate,No,1–8,Neutral,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,5–6,No,No,5,No,No,No
11/25/2025 10:52:31,Female,20-22,3,On-campus Dorm,Unhealthy (frequent fast/processed foods),No,1–8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,5–6,Yes — diagnosed by a professional,Yes — diagnosed by a professional,4,Unsure,Yes,No
11/25/2025 10:53:27,Male,20-22,4,With parents/relatives,Moderate,No,None,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,5,Unsure,No,No
11/25/2025 10:54:35,Male,20-22,4,Shared apartment/house (roommates),Healthy (mostly balanced meals),No,20+,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,7–8,No,No,3,No,No,Yes
11/25/2025 10:57:03,Female,18-19,2,On-campus Dorm,Moderate,No,None,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,5–6,Yes — suspected/undocumented,No,4,Unsure,Yes,No
11/25/2025 10:57:42,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,No,No,1,No,No,No
11/25/2025 11:01:25,Female,18-19,2,On-campus Dorm,Moderate,No,20+,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,No,No,2,Unsure,No,No
11/25/2025 11:08:19,Male,20-22,4,Shared apartment/house (roommates),Unhealthy (frequent fast/processed foods),No,1–8,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,5–6,Yes — suspected/undocumented,No,4,No,No,Yes
11/25/2025 11:11:37,Female,20-22,2,On-campus Dorm,Moderate,No,None,Disagree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,5–6,Yes — suspected/undocumented,No,2,No,No,No
11/25/2025 11:11:51,Female,20-22,3,On-campus Dorm,Moderate,No,9–14,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Neutral,Agree,5–6,Yes — suspected/undocumented,No,4,No,No,No
11/25/2025 11:15:28,Male,20-22,4,Shared apartment/house (roommates),Moderate,No,None,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Agree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,Yes,No
11/25/2025 11:26:40,Male,20-22,4,With parents/relatives,Moderate,No,None,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,7–8,Yes — suspected/undocumented,No,4,Unsure,No,No
11/25/2025 11:31:13,Female,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,7–8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,5,No,No,No
11/25/2025 11:37:56,Female,20-22,4,On-campus Dorm,Moderate,No,9–14,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,4,No,No,No
11/25/2025 11:42:22,Female,20-22,4,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,5–6,Yes — suspected/undocumented,No,4,No,No,No
11/25/2025 11:45:14,Prefer not to say,18-19,1,On-campus Dorm,Moderate,No,None,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,5–6,Yes — suspected/undocumented,No,5,Unsure,Yes,No
11/25/2025 12:05:49,Male,18-19,1,With parents/relatives,Unhealthy (frequent fast/processed foods),No,None,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,5–6,Yes — diagnosed by a professional,Yes — suspected/undocumented,4,No,Yes,No
11/25/2025 12:08:51,Female,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,5–6,No,No,4,Yes,No,No
11/25/2025 12:18:12,Female,23+,1,On-campus Dorm,Moderate,Yes,None,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,5–6,Yes — suspected/undocumented,No,4,Unsure,No,No
11/25/2025 12:32:40,Female,23+,1,Alone (renting),Moderate,No,None,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,7–8,Yes — suspected/undocumented,No,5,No,No,No
11/25/2025 12:50:01,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly disagree,7–8,No,No,1,No,No,No
11/25/2025 12:56:16,Male,20-22,4,On-campus Dorm,Moderate,No,1–8,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,5–6,No,No,2,No,No,No
11/25/2025 13:07:21,Female,18-19,1,With parents/relatives,Moderate,No,None,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,7–8,No,No,4,No,No,No
11/25/2025 13:38:22,Male,18-19,1,On-campus Dorm,Moderate,No,9–14,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,No,3,Unsure,No,>= 1 semester
11/25/2025 13:49:36,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,5–6,No,No,4,No,No,No
11/25/2025 13:52:49,Female,23+,4,On-campus Dorm,Moderate,No,None,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,7–8,No,Yes — diagnosed by a professional,3,Yes,Yes,Yes
11/25/2025 13:59:20,Male,18-19,1,On-campus Dorm,Moderate,No,None,Disagree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,7–8,No,No,4,No,No,No
11/25/2025 14:15:34,Female,18-19,1,On-campus Dorm,Moderate,No,None,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Neutral,7–8,Yes — suspected/undocumented,No,4,No,No,No
11/25/2025 14:25:39,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,No,4,No,No,No
11/25/2025 14:26:20,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,7–8,No,No,4,No,No,No
11/25/2025 14:38:08,Male,20-22,4,Alone (renting),Moderate,No,None,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,7–8,Yes — suspected/undocumented,No,1,No,No,No
11/25/2025 14:41:40,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
11/25/2025 14:43:43,Prefer not to say,18-19,1,With parents/relatives,Moderate,No,None,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,7–8,No,No,3,No,No,No
11/25/2025 14:54:06,Male,20-22,4,With parents/relatives,Moderate,No,None,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,No,No
11/25/2025 16:19:40,Female,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,1–8,Neutral,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,7–8,No,No,3,No,No,No
11/25/2025 16:20:17,Male,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,None,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Neutral,7–8,No,No,4,Unsure,No,No
11/25/2025 16:30:33,Male,20-22,3,On-campus Dorm,Moderate,No,None,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,7–8,Yes — suspected/undocumented,No,3,No,No,No
11/25/2025 17:09:15,Male,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,9–14,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,Unsure,No,No
11/25/2025 17:21:29,Female,18-19,1,Alone (renting),Moderate,No,None,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,5–6,Yes — diagnosed by a professional,Yes — diagnosed by a professional,5,Unsure,No,No
11/25/2025 18:28:56,Female,18-19,3,With parents/relatives,Moderate,No,None,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,No,3,No,No,No
11/25/2025 18:37:09,Male,18-19,1,On-campus Dorm,Moderate,No,None,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,3,Unsure,Yes,Yes
11/25/2025 18:51:44,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Neutral,7–8,Yes — suspected/undocumented,No,4,Unsure,No,No
11/25/2025 19:06:31,Female,23+,2,Alone (renting),Moderate,No,9–14,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
11/25/2025 19:29:39,Female,23+,4,With parents/relatives,Healthy (mostly balanced meals),No,None,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5–6,No,No,2,No,No,No
11/25/2025 19:31:48,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,No,No,1,Yes,No,No
11/25/2025 19:34:47,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,7–8,No,No,3,No,No,No
11/25/2025 20:25:31,Male,18-19,2,With parents/relatives,Moderate,No,20+,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,7–8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,5,Yes,Yes,>= 1 semester
11/25/2025 21:13:21,Female,20-22,3,Alone (renting),Moderate,No,None,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,No,No
11/25/2025 22:00:47,Male,18-19,1,On-campus Dorm,Moderate,No,None,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,No,No,No
11/25/2025 22:03:26,Male,18-19,1,With parents/relatives,Moderate,No,None,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,<5,Yes — suspected/undocumented,No,4,Unsure,No,No
11/25/2025 22:09:42,Male,18-19,1,On-campus Dorm,Moderate,No,None,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,7–8,No,No,1,No,No,No
11/25/2025 22:14:09,Male,20-22,4,On-campus Dorm,Moderate,Yes,None,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Disagree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,No,No
11/25/2025 23:09:33,Male,20-22,4,With parents/relatives,Moderate,No,None,Disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,Yes — suspected/undocumented,No,5,No,No,No
11/25/2025 23:20:47,Male,20-22,4,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Neutral,7–8,No,No,3,No,No,No
11/25/2025 23:30:22,Prefer not to say,20-22,4,With parents/relatives,Healthy (mostly balanced meals),No,None,Neutral,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Agree,7–8,Yes — suspected/undocumented,No,2,Unsure,Yes,No
11/25/2025 23:34:42,Female,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,5–6,Yes — diagnosed by a professional,Yes — diagnosed by a professional,4,Unsure,No,>= 1 semester
11/26/2025 0:09:58,Prefer not to say,23+,4,Shared apartment/house (roommates),Moderate,No,9–14,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7–8,No,No,1,No,No,>= 1 semester
11/26/2025 1:24:30,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7–8,No,No,3,No,No,No
11/26/2025 8:43:18,Male,18-19,1,On-campus Dorm,Moderate,No,None,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,>8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,5,No,Yes,>= 1 semester
